Designator,Mid X,Mid Y,Rotation,Layer
_22,190.007483,-130.04262,350.0,top
_21,193.307237,-111.279894,350.0,top
_20,172.1145,-109.636501,0.0,top
_19,153.0645,-109.636501,0.0,top
_18,172.1145,-90.586501,0.0,top
_17,153.0645,-90.586501,0.0,top
_16,172.1145,-71.536501,0.0,top
_15,153.0645,-71.536501,0.0,top
_14,172.1145,-52.486501,0.0,top
_13,153.0645,-52.486501,0.0,top
_12,134.0145,-85.586501,0.0,top
_11,114.9645,-85.586501,0.0,top
_10,134.0145,-66.536501,0.0,top
_9,114.9645,-66.536501,0.0,top
_8,134.0145,-47.486501,0.0,top
_7,114.9645,-47.486501,0.0,top
_6,95.9145,-57.486501,0.0,top
_5,95.9145,-76.536501,0.0,top
_4,95.9145,-95.586501,0.0,top
_3,76.8645,-95.586501,0.0,top
_2,76.8645,-76.536501,0.0,top
,76.8645,-57.486501,0.0,top
CN1,208.885878,-101.865122,225.0,top
H1_2,78.402,-61.199,0.0,top
H1,78.402,-61.199,0.0,bottom
H10_2,135.552,-70.249,0.0,top
H10,135.552,-70.249,0.0,bottom
H11_2,154.602,-75.249,0.0,top
H11,154.602,-75.249,0.0,bottom
H12_2,173.652,-75.249,0.0,top
H12,173.652,-75.249,0.0,bottom
H13_2,78.402,-99.299,0.0,top
H13,78.402,-99.299,0.0,bottom
H14_2,97.452,-99.299,0.0,top
H14,97.452,-99.299,0.0,bottom
H15_2,116.502,-89.299,0.0,top
H15,116.502,-89.299,0.0,bottom
H16_2,135.552,-89.299,0.0,top
H16,135.552,-89.299,0.0,bottom
H17_2,154.602,-94.299,0.0,top
H17,154.602,-94.299,0.0,bottom
H18_2,173.652,-94.299,0.0,top
H18,173.652,-94.299,0.0,bottom
H19_2,154.602,-113.349,0.0,top
H19,154.602,-113.349,0.0,bottom
H2_2,97.452,-61.199,0.0,top
H2,97.452,-61.199,0.0,bottom
H20_2,173.652,-113.349,0.0,top
H20,173.652,-113.349,0.0,bottom
H21_2,194.19119,-115.151,350.0,top
H21,194.19119,-115.151,10.0,bottom
H22_2,190.88319,-133.91159,350.0,top
H22,190.88319,-133.91159,10.0,bottom
H3_2,116.502,-51.199,0.0,top
H3,116.502,-51.199,0.0,bottom
H4_2,135.552,-51.199,0.0,top
H4,135.552,-51.199,0.0,bottom
H5_2,154.602,-56.199,0.0,top
H5,154.602,-56.199,0.0,bottom
H6_2,173.652,-56.199,0.0,top
H6,173.652,-56.199,0.0,bottom
H7_2,78.402,-80.249,0.0,top
H7,78.402,-80.249,0.0,bottom
H8_2,97.452,-80.249,0.0,top
H8,97.452,-80.249,0.0,bottom
H9_2,116.502,-70.249,0.0,top
H9,116.502,-70.249,0.0,bottom
LED1_2,191.763783,-128.941726,350.0,top
LED1,191.763256,-128.942515,10.0,bottom
LED10_2,154.602,-108.299,0.0,top
LED10,154.602,-108.299,0.0,bottom
LED11_2,135.552,-84.249,0.0,top
LED11,135.552,-84.249,0.0,bottom
LED12_2,135.552,-65.199,0.0,top
LED12,135.552,-65.199,0.0,bottom
LED13_2,135.552,-46.149,0.0,top
LED13,135.552,-46.149,0.0,bottom
LED14_2,116.502,-46.149,0.0,top
LED14,116.502,-46.149,0.0,bottom
LED15_2,116.502,-65.199,0.0,top
LED15,116.502,-65.199,0.0,bottom
LED16_2,116.502,-84.249,0.0,top
LED16,116.502,-84.249,0.0,bottom
LED17_2,97.452,-94.249,0.0,top
LED17,97.452,-94.249,0.0,bottom
LED18_2,97.452,-75.199,0.0,top
LED18,97.452,-75.199,0.0,bottom
LED19_2,97.452,-56.149,0.0,top
LED19,97.452,-56.149,0.0,bottom
LED2_2,195.063537,-110.179,350.0,top
LED2,195.063783,-110.178726,10.0,bottom
LED20_2,78.402,-56.149,0.0,top
LED20,78.402,-56.149,0.0,bottom
LED21_2,78.402,-75.199,0.0,top
LED21,78.402,-75.199,0.0,bottom
LED22_2,78.402,-94.249,0.0,top
LED22,78.402,-94.249,0.0,bottom
LED3_2,173.652,-108.299,0.0,top
LED3,173.652,-108.299,0.0,bottom
LED4_2,173.652,-89.249,0.0,top
LED4,173.652,-89.249,0.0,bottom
LED5_2,173.652,-70.199,0.0,top
LED5,173.652,-70.199,0.0,bottom
LED6_2,173.652,-51.149,0.0,top
LED6,173.652,-51.149,0.0,bottom
LED7_2,154.602,-51.149,0.0,top
LED7,154.602,-51.149,0.0,bottom
LED8_2,154.602,-70.199,0.0,top
LED8,154.602,-70.199,0.0,bottom
LED9_2,154.602,-89.249,0.0,top
LED9,154.602,-89.249,0.0,bottom
SW1,214.802,-112.239,170.0,top
SW2,195.132,-93.179,0.0,top
SW3,209.24526,-143.75285,350.0,top
U1_2,116.502,-109.629,270.0,top
U1,116.502,-109.629,270.0,bottom
U2_2,135.552,-109.629,270.0,top
U2,135.552,-109.629,270.0,bottom
U3_2,196.453,-58.569,0.0,top
U3,196.518,-58.567,0.0,bottom
